# Time [sec]	adc_raw[0]	adc_raw[1]	adc_raw[2]	adc_raw[3]	adc_raw[4]	adc_raw[6]
92.563	2021	2108	2133	37471531	536871336	335814656
92.578	2015	2113	2136	37471531	536871336	335814656
92.594	2021	2107	2138	37471531	536871336	335814656
92.609	2018	2108	2137	37471531	536871336	335814656
92.625	2019	2106	2138	71025963	536870932	335814656
92.641	2018	2108	2140	71025963	536870932	335814656
92.656	2022	2105	2140	71025963	536870932	335814656
92.672	2015	2105	2142	71025963	536870932	335814656
92.688	2019	2105	2144	71025963	536870932	335814656
92.703	2020	2103	2142	71025963	536870932	335814656
92.719	2017	2105	2140	71025963	536870932	335814656
92.734	2020	2106	2143	71025963	536870932	335814656
92.75	2031	2104	2146	71025963	536870932	335814656
92.766	2017	2104	2147	71025963	536870932	335814656
92.781	2017	2100	2149	71025963	536870932	335814656
92.797	2019	2104	2150	71025963	536870932	335814656
92.813	2016	2103	2150	71025963	536870932	335814656
92.828	2017	2100	2149	71025963	536870932	335814656
92.844	2012	2103	2155	71025963	536870932	335814656
92.859	2024	2100	2153	71025963	536870932	335814656
92.875	2020	2102	2156	71025963	536870932	335814656
92.891	2018	2101	2155	71025963	536870932	335814656
92.906	2018	2100	2156	71025963	536870932	335814656
92.922	2016	2100	2158	71025963	536870932	335814656
92.938	2016	2099	2157	71025963	536870932	335814656
92.953	2016	2098	2158	20694315	536880094	335814656
92.969	2015	2100	2158	71025963	536871044	335814656
92.984	2021	2097	2162	71025963	536871044	335814656
93	2016	2097	2158	37471531	536871334	335814656
93.016	2019	2096	2163	37471531	536871336	335814656
93.031	2016	2096	2161	37471531	536871336	335814656
93.047	2015	2099	2165	37471531	536871336	335814656
93.063	2020	2098	2165	37471531	536871336	335814656
93.078	2015	2096	2165	37471531	536871336	335814656
93.094	2019	2098	2169	37471531	536871336	335814656
93.109	2019	2093	2171	37471531	536871336	335814656
93.125	2019	2093	2170	37471531	536871336	335814656
93.141	2020	2095	2168	37471531	536871336	335814656
93.156	2016	2096	2169	37471531	536871336	335814656
93.172	2017	2092	2172	37471531	536871336	335814656
93.188	2017	2094	2170	37471531	536871336	335814656
93.203	2017	2091	2174	37471531	536871336	335814656
93.219	2016	2093	2172	37471531	536871336	335814656
93.234	2021	2092	2178	37471531	536871336	335814656
93.25	2016	2095	2176	37471531	536871336	335814656
93.266	2019	2092	2179	37471531	536871336	335814656
93.281	2020	2090	2178	37471531	536871336	335814656
93.297	2019	2092	2178	37471531	536871336	335814656
93.313	2018	2089	2180	37471531	536871336	335814656
93.328	2019	2088	2179	37471531	536871336	335814656
93.344	2015	2087	2182	37471531	536871336	335814656
93.359	2017	2089	2184	37471531	536871336	335814656
93.375	2029	2088	2184	37471531	536871336	335814656
93.391	2018	2086	2186	37471531	536871336	335814656
93.406	2029	2086	2186	37471531	536871336	335814656
93.422	2019	2085	2187	37471531	536871336	335814656
93.438	2025	2085	2187	37471531	536871336	335814656
93.453	2019	2086	2189	37471531	536871336	335814656
93.469	2020	2085	2188	37471531	536871336	335814656
93.484	2020	2083	2190	37471531	536871336	335814656
93.5	2019	2083	2193	37471531	536871336	335814656
93.516	2018	2081	2195	37471531	536871336	335814656
93.531	2017	2081	2194	37471531	536871336	335814656
93.547	2019	2082	2195	37471531	536871336	335814656
93.563	2017	2080	2192	37471531	536871336	335814656
93.578	2020	2080	2193	37471531	536871336	335814656
93.594	2019	2081	2194	37471531	536871336	335814656
93.609	2020	2079	2191	37471531	536871336	335814656
93.625	2023	2080	2193	71025963	536870932	335814656
93.641	2019	2077	2197	71025963	536870932	335814656
